iter	Passed	Remaining
439	1287	1639
440	1290	1635
441	1293	1632
442	1295	1629
443	1298	1626
444	1310	1634
445	1315	1634
446	1321	1634
447	1326	1634
448	1330	1633
449	1335	1632
450	1340	1631
451	1345	1630
452	1349	1629
453	1353	1627
454	1357	1625
455	1360	1622
456	1363	1619
457	1366	1616
458	1368	1613
459	1371	1609
460	1374	1606
461	1377	1603
462	1379	1600
463	1382	1597
464	1385	1594
465	1388	1591
466	1391	1588
467	1394	1585
468	1397	1581
469	1399	1578
470	1402	1574
471	1404	1571
472	1407	1568
473	1410	1564
474	1412	1561
475	1415	1558
476	1418	1555
477	1420	1551
478	1423	1548
479	1426	1545
480	1428	1541
481	1431	1538
482	1433	1534
483	1436	1531
484	1439	1528
485	1441	1524
486	1444	1521
487	1447	1518
488	1449	1514
489	1452	1511
490	1454	1508
491	1457	1504
492	1459	1501
493	1462	1497
494	1464	1494
495	1467	1491
496	1469	1487
497	1472	1484
498	1475	1481
499	1478	1478
500	1480	1474
501	1483	1471
502	1486	1468
503	1488	1465
504	1491	1461
505	1494	1458
506	1496	1455
507	1499	1452
508	1501	1448
509	1504	1445
510	1507	1442
511	1509	1439
512	1512	1435
513	1515	1432
514	1517	1429
515	1520	1426
516	1523	1423
517	1525	1419
518	1528	1416
519	1530	1413
520	1533	1410
521	1536	1407
522	1539	1403
523	1541	1400
524	1543	1396
525	1546	1393
526	1548	1390
527	1551	1386
528	1554	1383
529	1556	1380
530	1559	1377
531	1561	1373
532	1565	1371
533	1568	1369
534	1572	1366
535	1575	1363
536	1577	1360
537	1581	1357
538	1583	1354
539	1586	1351
540	1588	1348
541	1591	1344
542	1594	1341
543	1596	1338
544	1599	1335
545	1602	1332
546	1605	1329
547	1607	1326
548	1610	1322
549	1612	1319
550	1615	1316
551	1618	1313
552	1620	1310
553	1623	1306
554	1626	1303
555	1629	1300
556	1631	1297
557	1634	1294
558	1636	1291
559	1639	1288
560	1642	1284
561	1644	1281
562	1647	1278
563	1649	1275
564	1652	1272
565	1655	1269
566	1657	1266
567	1660	1263
568	1663	1260
569	1666	1256
570	1668	1253
571	1671	1250
572	1674	1247
573	1676	1244
574	1679	1241
575	1682	1238
576	1685	1235
577	1688	1233
578	1691	1230
579	1694	1227
580	1697	1223
581	1699	1220
582	1702	1217
583	1705	1214
584	1708	1211
585	1710	1208
586	1713	1205
587	1715	1202
588	1719	1199
589	1721	1196
590	1724	1193
591	1727	1190
592	1729	1187
593	1732	1184
594	1734	1180
595	1737	1177
596	1739	1174
597	1742	1171
598	1744	1168
599	1747	1165
600	1750	1161
601	1752	1158
602	1755	1155
603	1757	1152
604	1760	1149
605	1763	1146
606	1766	1143
607	1768	1140
608	1771	1137
609	1773	1134
610	1776	1131
611	1779	1128
612	1781	1124
613	1784	1121
614	1786	1118
615	1789	1115
616	1792	1112
617	1794	1109
618	1797	1106
619	1799	1103
620	1802	1100
621	1805	1096
622	1807	1093
623	1810	1090
624	1812	1087
625	1815	1084
626	1817	1081
627	1820	1078
628	1823	1075
629	1826	1072
630	1829	1069
631	1831	1066
632	1834	1063
633	1836	1060
634	1839	1057
635	1842	1054
636	1844	1051
637	1847	1048
